[2024-12-19 08:20:02] info: 	z2m: Logging to console, file (filename: log.log)
[2024-12-19 08:20:02] info: 	z2m: Starting Zigbee2MQTT version 1.42.0 (commit #unknown)
[2024-12-19 08:20:02] info: 	z2m: Starting zigbee-herdsman (2.1.9)
[2024-12-19 08:20:02] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2024-12-19 08:20:06] info: 	zh:ezsp:driv: Leaving current network and forming new network
[2024-12-19 08:20:07] info: 	zh:ezsp:driv: Form network
[2024-12-19 08:20:08] info: 	zh:controller: Wrote coordinator backup to '/config/zigbee2mqtt/coordinator_backup.json'
[2024-12-19 08:20:08] info: 	z2m: zigbee-herdsman started (reset)
[2024-12-19 08:20:08] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"1 ","majorrel":"7","minorrel":"1","product":9,"revision":"7.1.1.0 build 273"},"type":"EZSP v9"}'
[2024-12-19 08:20:08] info: 	z2m: Currently 0 devices are joined.
[2024-12-19 08:20:08] info: 	z2m: Zigbee: disabling joining new devices.
[2024-12-19 08:20:08] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2024-12-19 08:20:09] info: 	z2m: Connected to MQTT server
[2024-12-19 08:20:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-12-19 08:20:09] info: 	z2m: Started frontend on port 8099
[2024-12-19 08:20:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-12-19 08:20:09] info: 	z2m: Zigbee2MQTT started!
