[2024-12-19 15:34:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254,"value":true},"status":"ok","transaction":"1qj8d-2"}'
[2024-12-19 15:34:14] info: 	zh:controller: Interview for '0x842e14fffe63a757' started
[2024-12-19 15:34:14] info: 	z2m: Device '0x842e14fffe63a757' joined
[2024-12-19 15:34:14] info: 	z2m: Starting interview of '0x842e14fffe63a757'
[2024-12-19 15:34:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x842e14fffe63a757","ieee_address":"0x842e14fffe63a757"},"type":"device_joined"}'
[2024-12-19 15:34:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x842e14fffe63a757","ieee_address":"0x842e14fffe63a757","status":"started"},"type":"device_interview"}'
[2024-12-19 15:34:26] info: 	zh:controller: Succesfully interviewed '0x842e14fffe63a757'
[2024-12-19 15:34:26] info: 	z2m: Successfully interviewed '0x842e14fffe63a757', device has successfully been paired
[2024-12-19 15:34:26] info: 	z2m: Device '0x842e14fffe63a757' is supported, identified as: IKEA TRADFRI control outlet (E1603/E1702/E1708)
[2024-12-19 15:34:26] info: 	z2m: Configuring '0x842e14fffe63a757'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0x842e14fffe63a757/switch/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0x842e14fffe63a757/set","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"name":null,"object_id":"0x842e14fffe63a757","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"OFF","payload_on":"ON","state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_switch_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"definition":{"description":"TRADFRI control outlet","exposes":[{"features":[{"access":7,"description":"On/off state of the switch","label":"State","name":"state","property":"state","type":"binary","value_off":"OFF","value_on":"ON","value_toggle":"TOGGLE"}],"type":"switch"},{"access":7,"category":"config","description":"Controls the behavior when the device is powered on after power loss","label":"Power-on behavior","name":"power_on_behavior","property":"power_on_behavior","type":"enum","values":["off","on","toggle","previous"]},{"access":2,"category":"config","description":"Initiate device identification","label":"Identify","name":"identify","property":"identify","type":"enum","values":["identify"]},{"access":1,"category":"diagnostic","description":"Link quality (signal strength)","label":"Linkquality","name":"linkquality","property":"linkquality","type":"numeric","unit":"lqi","value_max":255,"value_min":0}],"model":"E1603/E1702/E1708","options":[{"access":2,"description":"Sets the duration of the identification procedure in seconds (i.e., how long the device would flash).The value ranges from 1 to 30 seconds (default: 3).","label":"Identify timeout","name":"identify_timeout","property":"identify_timeout","type":"numeric","value_max":30,"value_min":1},{"access":2,"description":"State actions will also be published as 'action' when true (default false).","label":"State action","name":"state_action","property":"state_action","type":"binary","value_off":false,"value_on":true}],"supports_ota":true,"vendor":"IKEA"},"friendly_name":"0x842e14fffe63a757","ieee_address":"0x842e14fffe63a757","status":"successful","supported":true},"type":"device_interview"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/power_on_behavior/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:power-settings","name":"Power-on behavior","object_id":"0x842e14fffe63a757_power_on_behavior","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_power_on_behavior_zigbee2mqtt","value_template":"{{ value_json.power_on_behavior }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x842e14fffe63a757/power_on_behavior/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0x842e14fffe63a757/set/power_on_behavior","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":true,"entity_category":"config","icon":"mdi:power-settings","name":"Power-on behavior","object_id":"0x842e14fffe63a757_power_on_behavior","options":["off","on","toggle","previous"],"origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_power_on_behavior_zigbee2mqtt","value_template":"{{ value_json.power_on_behavior }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x842e14fffe63a757/identify/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0x842e14fffe63a757/set/identify","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"identify","enabled_by_default":false,"entity_category":"config","object_id":"0x842e14fffe63a757_identify","options":["identify"],"origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"unique_id":"0x842e14fffe63a757_identify_zigbee2mqtt"}'
